,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
1374,0.0,0.05,0.055,0.01,0.02,0.01,0.04333333333333334,0.02,0.13,0.11,0.02
1375,0.01,0.02,0.2125,0.01,0.01,0.01,0.19,0.02,0.04,0.06,0.01
1376,0.01,0.02,0.015,0.0,0.02,0.0,0.0325,0.01,0.62,0.04,0.0
1377,0.01,0.01,0.0,0.0,0.0,0.02,0.62,0.0,0.73,0.52,0.01
1378,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.11,0.45333333333333337,0.0
1379,0.0,0.01,0.01,0.01,0.0,0.0,0.13,0.0,0.19,0.03,0.0
1380,0.01,0.05,0.026666666666666665,0.0,0.01,0.01,0.07,0.0,0.32,0.07,0.0
1381,0.0,0.06,0.07,0.0,0.01,0.0,0.055999999999999994,0.03,0.07666666666666667,0.07,0.04
1382,0.0,0.0,0.04,0.01,0.0,0.01,0.0,0.0,0.01,0.125,0.0
1383,0.0,0.03,0.045,0.0,0.0,0.02,0.02,0.03,0.05666666666666667,0.145,0.01
1384,0.0,0.07083333333333333,0.026666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
1385,0.0,0.005,0.04416666666666666,0.0,0.01,0.0,0.01,0.02,0.01,0.17600000000000002,0.0
1386,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.21,0.005,0.0
1387,0.01,0.02,0.03666666666666667,0.0,0.0,0.01,0.03,0.01,0.32,0.04,0.01
1388,0.0,0.07,0.07,0.0,0.01,0.003333333333333333,0.105,0.0,0.07,0.0725,0.03
1389,0.01,0.03,0.05,0.0,0.0,0.04,0.03,0.05,0.02333333333333333,0.12333333333333334,0.0
1390,0.83,0.002,0.03,0.0,0.01,0.0,0.02,0.0,0.03,0.04,0.0
1391,0.0,0.035,0.05,0.0,0.0,0.0,0.02,0.0,0.03,0.07,0.01
1392,0.03,0.01,0.05,0.0,0.06,0.0,0.07,0.01,0.09,0.14,0.02
1393,0.99,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1394,0.03,0.04066666666666666,0.13,0.01,0.0,0.035,0.04,0.05333333333333334,0.08,0.2,0.0
1395,0.01,0.04,0.04,0.01,0.05,0.01,0.01,0.0,0.16,0.09,0.02
1396,0.02,0.03,0.06,0.01,0.04,0.0,0.03,0.06,0.03,0.04,0.013333333333333332
1397,0.01,0.01,0.08,0.0,0.0,0.0,0.05,0.01,0.03,0.04,0.0
1398,0.0,0.06,0.06616666666666667,0.01,0.03,0.01,0.05,0.06,0.11,0.1,0.02
1399,0.0,0.03,0.04,0.0,0.02,0.0,0.01,0.0,0.06,0.23,0.0
1400,0.0,0.01,0.01,0.0,0.0,0.03,0.003333333333333333,0.02,0.0,0.07,0.0
1401,0.03,0.035,0.04,0.03,0.0425,0.01,0.02,0.0,0.19,0.14,0.01
1402,0.0,0.029166666666666664,0.02,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.02
1403,0.0,0.028333333333333332,0.06,0.01,0.01,0.0,0.02,0.01,0.08,0.055,0.0
1404,0.01,0.03,0.01,0.01,0.02,0.03,0.05,0.0,0.07,0.086,0.0
1405,0.0,0.03,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.0
1406,0.01,0.08016666666666666,0.2798333333333333,0.0,0.02,0.0,0.0,0.0,0.02,0.5433333333333333,0.0
1407,0.0,0.027999999999999997,0.04733333333333333,0.03,0.05,0.01,0.045,0.03,0.05,0.13,0.02
1408,0.01,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.06,0.02,0.0
1409,0.0,0.04,0.07,0.0,0.0,0.01,0.0125,0.0,0.01,0.05,0.0
1410,0.0,0.006666666666666666,0.035,0.0,0.04,0.01,0.02,0.01,0.075,0.01,0.0
1411,0.0,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.06,0.02,0.01
1412,0.0,0.02,0.21233333333333335,0.0,0.0,0.01,0.0,0.0,0.08166666666666668,0.5068333333333335,0.01
1413,0.0,0.3,0.102,0.0,0.02,0.01,0.115,0.0,0.1,0.455,0.01
1414,0.0,0.019583333333333335,0.02,0.0,0.0,0.02,0.03,0.0,0.01,0.06,0.0
1415,0.0,0.0,0.01,0.0,0.01,0.0,0.33,0.0,0.65,0.02,0.0
1416,0.0,0.14166666666666666,0.15833333333333333,0.0,0.0,0.0,0.035833333333333335,0.0,0.06,0.07,0.04
1417,0.0,0.0075,0.01,0.03,0.02,0.0,0.01,0.0,0.02,0.11,0.01
1418,0.0,0.01,0.01,0.0,0.0,0.0,0.09,0.01,0.19,0.05,0.0
1419,0.0,0.035,0.0725,0.0,0.0,0.01,0.01,0.0,0.05,0.245,0.0
1420,0.0,0.0,0.01,0.0,0.01,0.0,0.21,0.0,0.24,0.02,0.0
1421,0.02,0.015,0.0475,0.01,0.06,0.02,0.02,0.02,0.06333333333333334,0.09,0.0
1422,0.03,0.07,0.055,0.0,0.0,0.028333333333333332,0.05,0.01,0.095,0.12,0.02
1423,0.03,0.07066666666666667,0.06666666666666667,0.0,0.01,0.01,0.03,0.02,0.08,0.09333333333333334,0.01
1424,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.0,0.07,0.07,0.01
1425,0.0,0.04,0.03,0.0,0.02,0.0,0.05,0.0,0.1,0.095,0.0
1426,0.0,0.15,0.15,0.01,0.02,0.0,0.07,0.0,0.06,0.1,0.0
1427,0.0,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.19,0.02,0.0
1428,0.0,0.05,0.025,0.01,0.0,0.0,0.09,0.01,0.13,0.12,0.0
1429,0.0,0.0,0.01,0.0,0.0,0.0,0.21,0.0,0.42,0.0,0.01
1430,0.0,0.0,0.02,0.0,0.0,0.0,0.44,0.0,0.465,0.145,0.0
1431,0.01,0.0,0.04,0.0,0.0,0.05,0.02,0.0,0.01,0.02,0.01
1432,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.02,0.04,0.35,0.0
1433,0.0,0.0,0.81,0.0,0.0,0.0,0.19,0.0,0.09,0.0,0.0
1434,0.0,0.04,0.26616666666666666,0.01,0.01,0.049166666666666664,0.02,0.0,0.06283333333333334,0.6250476190476192,0.0
1435,0.01,0.04,0.2688333333333333,0.01,0.01,0.0,0.02,0.01,0.10166666666666666,0.08666666666666666,0.01
1436,0.0,0.02,0.05,0.01,0.026666666666666665,0.04,0.145,0.02,0.12,0.08,0.023333333333333334
1437,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.3708333333333334,0.4759999999999999,0.0
1438,0.07,0.026666666666666665,0.02333333333333333,0.04,0.01,0.02,0.03,0.03,0.05,0.156,0.01
1439,0.0,0.0,0.04,0.0,0.01,0.0,0.08,0.0,0.11,0.08,0.0
1440,0.0,0.0,0.0,0.0,0.01,0.0,0.13,0.0,0.02,0.02,0.0
1441,0.05,0.084,0.10666666666666666,0.0,0.029999999999999995,0.01,0.09,0.04,0.14666666666666667,0.2,0.0
1442,0.0,0.01,0.1,0.0,0.0,0.0,0.07,0.0,0.02,0.0,0.0
1443,0.01,0.02,0.0425,0.0,0.01,0.0,0.13,0.0,0.04,0.075,0.0
1444,0.02,0.03666666666666667,0.045,0.0,0.0,0.0,0.085,0.0,0.07,0.04333333333333333,0.01
1445,0.0,0.07916666666666666,0.14833333333333334,0.0,0.085,0.0,0.27166666666666667,0.01,0.05,0.11999999999999998,0.025333333333333333
1446,0.0,0.009333333333333334,0.08916666666666666,0.0,0.037142857142857144,0.0,0.06,0.0,0.04,0.035,0.0
1447,0.0,0.03333333333333333,0.1,0.02,0.03,0.02,0.02,0.0,0.10583333333333333,0.14533333333333334,0.02
1448,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.09607142857142857,0.36,0.0
1449,0.01,0.0325,0.15833333333333333,0.0,0.015,0.04416666666666666,0.05,0.0,0.06333333333333332,0.086,0.01
1450,0.01,0.06,0.016666666666666666,0.0,0.04,0.001,0.04,0.01,0.064,0.045,0.01
1451,0.0,0.055,0.096,0.01,0.01,0.0,0.02,0.04,0.01,0.09666666666666668,0.03
1452,0.0,0.0,0.04,0.88,0.0,0.0,0.01,0.0,0.01,0.03,0.0
1453,0.0,0.01,0.06,0.06,0.02,0.01,0.02,0.01,0.03333333333333333,0.03,0.01
1454,0.88,0.01,0.01,0.0,0.016666666666666666,0.0,0.016666666666666666,0.01,0.01,0.04,0.0
1455,0.0,0.01,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1456,0.06,0.02,0.03333333333333333,0.0,0.0,0.0,0.01,0.0,0.015,0.204,0.0
1457,0.0,0.025,0.09,0.03,0.02,0.0,0.003333333333333333,0.02,0.05333333333333334,0.08,0.02
1458,0.97,0.0225,0.039523809523809524,0.0,0.004,0.0,0.013333333333333332,0.0,0.01,0.03,0.0
1459,0.96,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.01,0.005,0.01
1460,0.0,0.02,0.04,0.0,0.02,0.01,0.03,0.01,0.43,0.02,0.02
1461,0.0,0.0,0.006666666666666666,0.0,0.0,0.0,0.005,0.0,0.09,0.03,0.0
1462,0.02,0.03,0.04333333333333333,0.0,0.0,0.0,0.03666666666666667,0.01,0.06,0.04,0.01
1463,0.06,0.04,0.09,0.0,0.02,0.02,0.13,0.01,0.09,0.07,0.02
1464,0.0,0.02,0.03,0.0,0.0,0.03,0.03,0.0,0.07,0.3,0.0
1465,0.0,0.0025,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.4936666666666667,0.0
1466,0.0,0.01,0.005,0.0,0.01,0.0,0.01,0.0,0.0,0.04,0.01
1467,0.0,0.013333333333333332,0.03,0.78,0.02,0.0,0.02,0.0,0.016666666666666666,0.09,0.01
1468,0.0,0.005,0.08047619047619048,0.0,0.0,0.0,0.26341666666666663,0.01,0.5695833333333333,0.02,0.0
1469,0.85,0.0,0.02,0.0,0.01,0.0,0.026000000000000002,0.0,0.03,0.04,0.0
1470,0.02,0.02909090909090909,0.01,0.01,0.04,0.0,0.01,0.01,0.03,0.016666666666666666,0.02
1471,0.0,0.0125,0.055,0.0,0.0,0.0,0.01,0.011666666666666665,0.03,0.3075,0.0
1472,0.0,0.07,0.02,0.0,0.06,0.0,0.02,0.02,0.07,0.08,0.01
1473,0.02,0.02,0.041428571428571426,0.0,0.0,0.0,0.0,0.01,0.01,0.8,0.0
1474,0.0,0.01,0.0,0.0,0.0,0.0,0.25,0.0,0.08461538461538462,0.0,0.0
1475,0.04,0.05,0.07525,0.0,0.07,0.0,0.035,0.02,0.06,0.02,0.01
1476,0.0,0.0,0.0,0.0,0.32333333333333336,0.0025,0.01,0.0,0.17,0.24,0.0
1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
1478,0.0,0.01,0.04,0.01,0.0,0.04,0.1,0.01,0.105,0.1,0.0
1479,0.0,0.0,0.065,0.06,0.03,0.01,0.03,0.04,0.13,0.08,0.02
1480,0.02,0.15756410256410255,0.1675,0.02,0.06333333333333332,0.025,0.03666666666666667,0.01,0.16,0.16,0.04
1481,0.02,0.01,0.0125,0.01,0.02,0.02,0.02,0.03,0.03,0.17,0.01
1482,0.03,0.015,0.15333333333333335,0.03,0.05,0.0,0.04333333333333333,0.07,0.02,0.08,0.03
1483,0.02,0.055,0.06666666666666667,0.01,0.0,0.01,0.03,0.0,0.1,0.21,0.01
1484,0.03,0.055,0.095,0.01,0.11,0.03,0.07,0.03,0.07166666666666667,0.06,0.01
1485,0.02,0.04,0.0625,0.02,0.02,0.0,0.02,0.04,0.1,0.06666666666666667,0.0
1486,0.06,0.01,0.013333333333333332,0.0,0.03,0.02,0.05,0.01,0.1125,0.045,0.01
1487,0.0,0.04,0.04,0.0,0.01,0.01,0.12,0.0,0.08,0.05,0.0
1488,0.0,0.01,0.07,0.0,0.0,0.0,0.02,0.0,0.04,0.64,0.0
1489,0.0,0.01,0.05333333333333333,0.0,0.0,0.0,0.1,0.0,0.12,0.09,0.0
1490,0.01,0.34,0.09,0.0,0.01,0.01,0.06,0.0,0.35,0.7,0.0
1491,0.06,0.03,0.04,0.04,0.01,0.01,0.02,0.09,0.12,0.16,0.0
1492,0.0,0.0,0.03333333333333333,0.0,0.0,0.02,0.06,0.05,0.06,0.1,0.01
1493,0.0,0.01,0.04,0.0,0.0,0.0,0.22,0.0,0.05,0.02,0.0
1494,0.02,0.05083333333333333,0.067,0.0,0.01,0.01,0.05,0.0,0.07,0.09,0.01
1495,0.02,0.0325,0.07333333333333333,0.0,0.07,0.01,0.08,0.04,0.11,0.11,0.01
1496,0.0,0.0,0.18,0.0,0.0,0.0,0.08,0.0,0.17,0.05,0.0
1497,0.0,0.11,0.09,0.0,0.04,0.0,0.08,0.0,0.14,0.03,0.0
1498,0.0,0.02,0.13666666666666666,0.0,0.04166666666666666,0.0,0.01,0.0,0.03,0.04333333333333334,0.01
1499,0.0,0.01,0.02,0.0,0.0,0.01,0.02,0.005,0.02,0.03,0.0
1500,0.02,0.01,0.02,0.03,0.0,0.07,0.06,0.05,0.08,0.07,0.01
1501,0.01,0.04,0.02,0.01,0.05,0.0,0.06,0.02,0.07,0.11,0.03
1502,0.69,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.03,0.02,0.01
1503,0.02,0.05,0.005,0.05,0.05,0.0,0.02,0.01,0.04,0.08833333333333333,0.0
1504,0.0,0.051,0.105,0.01,0.0,0.01,0.02,0.01,0.04,0.23,0.0075
1505,0.01,0.01,0.03,0.09,0.0,0.0,0.04,0.01,0.21,0.07583333333333334,0.0
1506,0.13,0.01,0.03,0.0,0.0,0.0,0.02,0.0,0.02,0.04,0.01
1507,0.01,0.47,0.43,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01
1508,0.0,0.0,0.015,0.0,0.0,0.0,0.02,0.0,0.03,0.01,0.0
1509,0.0,0.06571428571428571,0.03,0.0,0.02,0.003333333333333333,0.05,0.0,0.0675,0.23,0.0
1510,0.0,0.06,0.06666666666666667,0.01,0.01,0.0,0.08833333333333332,0.0,0.03,0.05333333333333333,0.0
1511,0.0,0.05,0.01,0.0,0.02,0.01,0.04,0.0,0.03,0.09666666666666668,0.01
1512,0.01,0.03666666666666667,0.11316666666666668,0.01,0.026000000000000002,0.0,0.03,0.02,0.05333333333333333,0.06,0.01
1513,0.0,0.01,0.03666666666666667,0.0,0.0,0.0,0.02,0.01,0.16,0.0725,0.03
1514,0.01,0.044000000000000004,0.11,0.05,0.023333333333333334,0.01,0.05,0.03,0.07666666666666666,0.035,0.0
1515,0.0,0.02,0.025,0.0,0.01,0.01,0.18,0.0,0.24,0.07,0.0
1516,0.0,0.035,0.07,0.01,0.0,0.0,0.02,0.0,0.09,0.19333333333333336,0.0
1517,0.01,0.05,0.09166666666666667,0.06,0.03,0.02,0.08,0.04,0.095,0.15666666666666665,0.03
1518,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0.12,0.03
1519,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.21,0.0,0.0
1520,0.05,0.06333333333333334,0.085,0.02,0.0025,0.0,0.03,0.003333333333333333,0.02,0.08,0.06333333333333332
1521,0.0,0.0,0.0,0.0,0.01,0.0,0.22,0.04,0.16,0.04,0.0
1522,0.0,0.02,0.048,0.0,0.026666666666666665,0.0,0.05,0.0,0.05,0.1,0.03
1523,0.02,0.01,0.09201190476190478,0.0,0.0,0.01,0.01,0.0,0.05,0.6113333333333333,0.0325
1524,0.02,0.075,0.10533333333333333,0.0,0.04,0.0,0.01,0.04,0.02,0.48533333333333334,0.0
1525,0.02,0.02,0.18166666666666667,0.0,0.02,0.025,0.01,0.0,0.04,0.2,0.0
1526,0.72,0.01,0.0275,0.0,0.016666666666666666,0.0,0.035,0.02,0.02,0.102,0.03944444444444445
1527,0.0,0.03,0.24,0.0,0.0,0.0,0.22,0.0,0.39,0.11,0.0
1528,0.0,0.3345833333333333,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1529,0.02,0.03166666666666666,0.03,0.0,0.0,0.01,0.03,0.0,0.09,0.08666666666666666,0.01
1530,0.0,0.085,0.027857142857142855,0.01,0.02,0.02,0.07,0.02,0.09,0.04,0.05
1531,0.01,0.03,0.04,0.0,0.0,0.0,0.09,0.0,0.12,0.12333333333333332,0.01
1532,0.0,0.0,0.115,0.0,0.04,0.0,0.32,0.03,0.44,0.01,0.02
1533,0.0,0.03333333333333333,0.04,0.0,0.05,0.05,0.0,0.03,0.12,0.48666666666666664,0.0
1534,0.01,0.03,0.04666666666666666,0.01,0.0,0.0,0.01,0.0,0.01,0.03,0.0
1535,0.03,0.04333333333333333,0.08200000000000002,0.0,0.0,0.0,0.0425,0.01,0.11,0.06,0.02
1536,0.03,0.07,0.175,0.0,0.01,0.01,0.01,0.03,0.025,0.06,0.0
1537,0.01,0.0,0.0,0.0,0.0,0.0,0.34,0.01,0.37,0.01,0.02
1538,0.05,0.03333333333333333,0.04833333333333333,0.01,0.0,0.01,0.05,0.01,0.085,0.24625,0.01
1539,0.0,0.04333333333333334,0.013333333333333332,0.0,0.01,0.02,0.25,0.0,0.53,0.1,0.0
1540,0.05,0.029166666666666664,0.17416666666666664,0.0,0.017833333333333333,0.04,0.05,0.0,0.06166666666666667,0.15,0.026000000000000002
1541,0.8,0.03,0.04214285714285714,0.0,0.01,0.01,0.01,0.0,0.01,0.0325,0.0
1542,0.0,0.05,0.13,0.0,0.05,0.01,0.065,0.02,0.08,0.05,0.01
1543,0.02,0.03666666666666667,0.085,0.03,0.03,0.01,0.1,0.01,0.06,0.10333333333333332,0.05
1544,0.0,0.006666666666666666,0.05,0.0,0.03,0.01,0.07,0.0,0.05,0.1,0.0
1545,0.0,0.03,0.04,0.03,0.02,0.036000000000000004,0.02,0.0,0.03,0.34,0.0
1546,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.3708333333333334,0.4759999999999999,0.0
1547,0.01,0.05266666666666667,0.10666666666666666,0.0,0.016,0.0,0.07,0.01,0.03,0.049,0.04833333333333334
1548,0.0,0.03,0.01,0.02,0.0,0.01,0.06,0.0,0.24,0.06,0.02
1549,0.0,0.06,0.066,0.0,0.0,0.02,0.02,0.03,0.06,0.02,0.0
1550,0.0,0.03,0.04333333333333333,0.0,0.02,0.0,0.03,0.0,0.02333333333333333,0.04,0.0
1551,0.0,0.01,0.02,0.0,0.0,0.02,0.05,0.0,0.22,0.11,0.0
1552,0.0,0.025,0.03,0.01,0.04,0.0,0.04,0.01,0.07666666666666667,0.145,0.0
1553,0.0,0.026666666666666665,0.05,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.005
1554,0.75,0.0325,0.03,0.0,0.0225,0.0,0.02,0.01,0.015,0.02,0.0
1555,0.01,0.01875,0.0375,0.01,0.006666666666666666,0.0,0.08,0.02,0.08,0.08,0.03
1556,0.02,0.10166666666666668,0.14166666666666666,0.01,0.02,0.005,0.02,0.01,0.0825,0.145,0.02
1557,0.01,0.028333333333333332,0.04333333333333333,0.0,0.0,0.0,0.0,0.0,0.01,0.081,0.02
1558,0.0,0.026666666666666665,0.05,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.005
1559,0.0,0.0,0.02,0.0,0.02,0.0,0.06,0.0,0.07,0.0025,0.01
1560,0.01,0.02,0.08,0.0,0.02,0.01,0.01,0.03,0.1,0.08,0.02
1561,0.1,0.15166666666666667,0.59,0.0,0.052000000000000005,0.035,0.1,0.03,0.07666666666666666,0.16,0.07566666666666667
1562,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0
1563,0.0,0.01,0.0,0.0,0.0,0.0,0.013333333333333332,0.0,0.14,0.38,0.0
1564,0.0,0.0,0.2,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0
1565,0.0,0.03,0.03,0.0,0.0,0.0,0.18,0.0,0.22333333333333333,0.03,0.0
1566,0.0,0.04,0.0,0.0,0.01,0.0,0.15,0.0,0.07,0.08666666666666668,0.0
1567,0.0,0.0,0.004,0.0,0.0,0.01,0.11,0.0,0.23,0.03,0.0
1568,0.01,0.02,0.075,0.01,0.0,0.02,0.03,0.0,0.395,0.05333333333333334,0.006666666666666666
1569,0.01,0.018000000000000002,0.095,0.0,0.0,0.01,0.0,0.03,0.04,0.45,0.0
1570,0.01,0.0175,0.0975,0.0,0.03,0.015,0.04,0.01,0.03,0.07,0.005
1571,0.01,0.0,0.0,0.0,0.01,0.045,0.03,0.0,0.6,0.03,0.0
1572,0.0,0.01,0.02,0.0,0.0,0.0,0.015,0.0,0.02,0.01,0.0245
1573,0.0,0.04,0.05333333333333334,0.0,0.04,0.0,0.02,0.0,0.09,0.09083333333333334,0.02
1574,0.0,0.0345,0.10166666666666666,0.0,0.01,0.016666666666666666,0.05,0.01,0.07666666666666667,0.14166666666666666,0.03
1575,0.0,0.0,0.0,0.0,0.01,0.0,0.09,0.0,0.11,0.25,0.0
1576,0.01,0.016666666666666666,0.05333333333333333,0.0,0.02,0.01,0.06,0.0,0.07,0.04,0.0
1577,0.0,0.02,0.035,0.03,0.02,0.02,0.17,0.0,0.45,0.085,0.0
1578,0.01,0.027333333333333334,0.08,0.01,0.01,0.0,0.04,0.01,0.06,0.13,0.01
1579,0.0,0.015,0.006666666666666666,0.01,0.03,0.0,0.08,0.04,0.27245714285714284,0.1,0.0
1580,0.94,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.0
1581,0.01,0.06333333333333332,0.15416666666666667,0.0,0.0,0.0,0.04666666666666666,0.0,0.04,0.06333333333333332,0.01
1582,0.0,0.04,0.04,0.0,0.02166666666666667,0.01,0.1,0.0,0.22,0.08,0.02
1583,0.0,0.02,0.035,0.0,0.03,0.0,0.03,0.0,0.03,0.17,0.01
1584,0.0,0.01,0.016666666666666666,0.0,0.01,0.0,0.44,0.09,0.52,0.08,0.01
1585,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.0
1586,0.0,0.028666666666666667,0.01,0.0,0.01,0.0,0.0975,0.01,0.05,0.11,0.02
1587,0.01,0.06699999999999999,0.20933333333333337,0.02,0.0,0.006666666666666666,0.02,0.0,0.045,0.6786666666666666,0.01
1588,0.01,0.045,0.2275,0.01,0.01,0.0,0.01,0.0,0.01,0.5241666666666667,0.01
1589,0.0,0.06,0.095,0.0,0.01,0.01,0.04833333333333333,0.0,0.39,0.11,0.0
1590,0.0,0.009166666666666667,0.295,0.0,0.02,0.01,0.06,0.0,0.095,0.06,0.01
1591,0.0,0.02,0.025,0.0,0.0,0.0,0.02,0.01,0.105,0.07,0.006
1592,0.01,0.04,0.0425,0.02,0.0,0.0,0.02,0.01,0.02,0.165,0.01
1593,0.01,0.0,0.0,0.01,0.01,0.0,0.055,0.0,0.29,0.17,0.0
1594,0.06,0.07,0.135,0.01,0.03833333333333333,0.05,0.04,0.02,0.065,0.14,0.048
1595,0.0,0.02,0.035,0.01,0.01,0.0,0.01,0.01,0.03,0.05,0.0
1596,0.01,0.04,0.04,0.0,0.02,0.03,0.09,0.02,0.16666666666666663,0.17,0.03
1597,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.01,0.05,0.47,0.0
1598,0.0,0.02,0.02,0.0,0.06,0.01,0.06,0.01,0.07,0.08,0.01
1599,0.0,0.013333333333333332,0.16516666666666666,0.0,0.08016666666666666,0.01,0.19166666666666665,0.07,0.05,0.1275,0.07583333333333334
1600,0.0,0.048,0.22299999999999998,0.0,0.0,0.0,0.3838333333333333,0.0,0.03333333333333333,0.07625000000000001,0.0
1601,0.0,0.04,0.06,0.0,0.03,0.01,0.122,0.0,0.22,0.11,0.01
1602,0.0,0.05,0.08,0.0,0.04,0.0,0.03,0.0,0.08,0.08333333333333334,0.01
1603,0.01,0.02,0.035,0.02,0.03,0.01,0.01,0.05,0.04,0.26,0.0
1604,0.0,0.01,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0
1605,0.01,0.075,0.07,0.0,0.22,0.01,0.03,0.0,0.045,0.4,0.0
1606,0.04,0.026666666666666665,0.09666666666666666,0.0,0.01,0.0025,0.12,0.02333333333333333,0.14,0.08,0.01
1607,0.0,0.0,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.06,0.02
1608,0.0,0.06,0.04,0.01,0.03,0.0,0.15,0.0,0.07,0.05,0.02
1609,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.0,0.12,0.09,0.02
1610,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.12,0.0
1611,0.01,0.12916666666666668,0.2925,0.01,0.015,0.0,0.016666666666666666,0.02,0.06,0.06,0.03
1612,0.0,0.01,0.041428571428571426,0.0,0.0,0.0,0.021666666666666664,0.0,0.06,0.08,0.0
1613,0.0,0.05,0.05,0.0,0.0,0.02,0.07,0.0,0.1,0.06,0.0
1614,0.03,0.084,0.0915,0.0,0.05,0.006666666666666666,0.08666666666666668,0.02,0.08333333333333331,0.1,0.03
1615,0.0,0.01,0.02,0.0,0.0,0.0,0.65,0.0,0.6,0.01,0.0
1616,0.0,0.0725,0.07375,0.0,0.02,0.01,0.05,0.01,0.06,0.054000000000000006,0.04
1617,0.01,0.012,0.04666666666666666,0.02,0.08,0.01,0.0,0.0,0.03,0.39,0.01
1618,0.03,0.01,0.04666666666666667,0.0,0.015,0.02,0.075,0.02,0.09,0.225,0.015
1619,0.0,0.04,0.01,0.0,0.01,0.0,0.04,0.0,0.22,0.06,0.0
1620,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.0,0.19,0.01,0.0
1621,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.27,0.0
1622,0.01,0.0125,0.04666666666666666,0.0,0.0,0.0,0.01,0.025,0.05,0.18,0.02
1623,0.0,0.035,0.05,0.01,0.01,0.0,0.05583333333333333,0.03,0.16,0.065,0.0
1624,0.0,0.06,0.02,0.0,0.0,0.0,0.01,0.0,0.05,0.03,0.0
1625,0.0,0.02,0.02,0.02,0.0,0.03,0.01,0.02,0.03,0.02,0.01
1626,0.01,0.02,0.391,0.0,0.025,0.0,0.065,0.0,0.03,0.08,0.01
1627,0.02,0.04,0.04,0.01,0.02,0.02,0.08,0.03,0.1,0.085,0.01
1628,0.02,0.038,0.075,0.01,0.06,0.01,0.03,0.01,0.04,0.08,0.01
1629,0.01,0.03,0.05,0.0,0.01,0.03,0.08,0.0,0.045,0.02,0.02
1630,0.01,0.04,0.08,0.0,0.06,0.01,0.05,0.01,0.03,0.03333333333333333,0.01
1631,0.03,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.02,0.69,0.0
1632,0.06,0.44,0.205,0.01,0.015,0.39,0.02,0.046,0.26666666666666666,0.095,0.03
1633,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.03,0.0
1634,0.0,0.03,0.035,0.01,0.0,0.01,0.04,0.0,0.08,0.11,0.0
1635,0.0,0.02,0.03166666666666666,0.0,0.0,0.0,0.027999999999999997,0.0,0.02,0.05,0.01
1636,0.04,0.01,0.035,0.0,0.02,0.01,0.01,0.013333333333333332,0.01,0.4066666666666666,0.0
1637,0.02,0.03,0.1,0.0,0.01,0.03333333333333333,0.05333333333333333,0.01,0.06,0.07400000000000001,0.0
1638,0.04,0.01,0.01,0.01,0.0,0.0,0.005,0.0,0.04,0.02,0.0
1639,0.01,0.3,0.44,0.0,0.0,0.0,0.04,0.02,0.05,0.79,0.01
1640,0.0,0.04,0.04,0.0,0.06,0.0,0.09,0.0,0.11,0.02,0.02
1641,0.0,0.0,0.015,0.0,0.0,0.0,0.31,0.0,0.15,0.07,0.01
